num_rooms,m2,price,zip_code,canton_code,street,city
3.5,67,1340,6932,TI,Via Lucino,Breganzona
1.5,20,780,6900,TI,Via Zorzi,Paradiso
2.0,45,950,6900,TI,Via Giuglielmo Canevascini,Lugano
3.5,73,1880,8640,SG,Rietstrasse,Rapperswil SG
3.5,71,1320,2555,BE,Aarestr.,Brügg BE
2.5,52,1080,9244,SG,Henauerstr.,Niederuzwil
2.5,68,2090,8152,ZH,Farmanstr. ,Glattpark (Opfikon)
2.5,55,1380,1020,VD,Chemin des Clos,Renens VD
3.5,68,1550,5621,AG,Bachhaldenstr.,Zufikon
4.5,76,1380,8575,TG,Freihofstrasse,Bürglen TG
4.0,80,1480,5000,AG,General Guisan-Str.,Aarau
3.5,79,1320,4554,SO,Buchenweg,Etziken
4.0,86,3495,1206,GE,Av. Calas,Genève
3.0,73,2880,1208,GE,Av. Krieg,Genève
4.0,111,3835,1208,GE,Av. Krieg,Genève
4.0,88,3530,1206,GE,Av. Calas,Genève
7.0,142,4840,1206,GE,Av. Calas,Genève
3.0,46,2016,1205,GE,Carl-Vogt,Genève
3.5,83,1610,9320,TG,Egnacherstrasse,Arbon
2.5,66,1370,9320,TG,Egnacherstrasse,Arbon
3.5,83,1710,9320,TG,Egnacherstrasse,Arbon
2.0,39,1135,1804,VD,Rue Carlo-Hemmerling,Corsier-sur-Vevey
3.0,67,1460,5415,AG,Kornweg,Nussbaumen AG
3.5,102,1600,5200,AG,Sommerhaldenstrasse,Brugg AG
4.5,125,1730,5200,AG,Sommerhaldenstrasse,Brugg AG
3.0,74,1360,5415,AG,General Guisan-Strasse,Nussbaumen AG
3.5,94,2310,1007,VD,Avenue des Figuiers,Lausanne
3.5,88,1485,6932,TI,Via Vergiò,Breganzona
4.5,106,1750,1400,VD,Av. du Général-Guisan,Yverdon-les-Bains
3.5,79,1710,8404,ZH,Guggenbühlstrasse,Winterthur
2.5,68,1940,8400,ZH,Walkestrasse,Winterthur
4.5,91,1685,8604,ZH,Etzelweg,Volketswil
2.5,62,1830,8152,ZH,Voisin-Strasse,Glattpark (Opfikon)
2.5,78,1475,9016,SG,Schönbüelpark,St. Gallen
3.0,68,1440,6423,SZ,Gardi,Seewen SZ
4.5,99,1715,3400,BE,Gyrischachenstrasse,Burgdorf
3.5,94,1640,5502,AG,Hauptstrasse,Hunzenschwil
2.5,62,1644,5200,AG,Schulthess-Allee,Brugg AG
2.5,75,1780,5200,AG,Schulthess-Allee,Brugg AG
3.0,55,965,8953,ZH,Lägernstrasse,Dietikon
4.5,103,1866,5430,AG,Bahnhofstrasse,Wettingen
4.5,106,2185,8620,ZH,Blaketen,Wetzikon ZH
1.0,23,1030,8057,ZH,Berninastrasse,Zürich
3.0,66,1090,8200,SH,Winkelriedstrasse,Schaffhausen
3.0,73,1950,8049,ZH,Riedhofstrasse,Zürich
3.5,105,1740,5442,AG,Zelglistrasse,Fislisbach
4.5,128,2150,8185,ZH,In der Breiti,Winkel
4.5,100,1690,8181,ZH,Gentertstrasse,Höri
2.5,113,1480,9008,SG,Langgasse,St. Gallen
3.5,83,1700,9500,SG,Höhenstrasse,Wil SG
1.5,27,830,9500,SG,Höhenstrasse,Wil SG
1.5,30,695,9450,SG,Nordstrasse,Altstätten SG
2.0,53,1550,1004,VD,Chemin de Boston,Lausanne
2.0,41,1420,1020,VD,Rue de l'Avenir,Renens VD
3.0,71,1460,4153,BL,Maienweg,Reinach BL
4.5,90,2142,4127,BL,Wartenbergstrasse,Birsfelden
3.0,67,1550,4056,BS,Vogesenstrasse,Basel
4.5,81,1970,4142,BL,Grubenstrasse,Münchenstein
3.5,69,1450,4102,BL,Kernmattstr.,Binningen
5.5,140,2800,4123,BL,Belchenring,Allschwil
1.0,33,1200,6004,LU,Grendelstrasse,Luzern
3.5,94,1690,2540,SO,Maria Schürerstrasse,Grenchen
3.0,150,3000,8422,ZH,Brunistrasse,Pfungen
2.0,45,1100,5330,AG,Schluttengasse,Bad Zurzach
2.5,55,1050,5330,AG,Schluttengasse,Bad Zurzach
1.0,25,800,8105,ZH,Boutiquehotel Thessoni classic Eichwatt,Regensdorf
4.5,98,1480,7163,GR,Via Vitg,Danis
2.0,66,1537,4053,BS,Hochstrasse,Basel
3.5,90,1900,4123,BL,Ofenstrasse,Allschwil
2.5,55,1070,1870,VS,Rue de la Reconfière,Monthey
3.0,54,1639,1202,GE,Rue Antoine-Carteret,Genève
3.5,94,1630,4663,AG,Strickereistrasse,Aarburg
3.5,93,1520,8500,TG,Moosweg,Frauenfeld
2.5,54,1395,3097,BE,Wabersackerstrasse,Liebefeld
2.0,54,1150,3018,BE,Bernstrasse,Bern
3.5,69,1305,3303,BE,Bimerweg,Jegenstorf
3.5,82,1880,3013,BE,Turnweg,Bern
4.5,108,2450,8951,ZH,Brunaustrasse,Fahrweid
3.5,87,2380,5620,AG,Austrasse,Bremgarten AG
4.5,108,2810,5620,AG,Augraben,Bremgarten AG
4.5,110,2200,4323,AG,Hohle Gasse,Wallbach
4.0,80,2490,8125,ZH,Rietholzstrasse,Zollikerberg
4.5,110,1860,8957,AG,"Langäckerstrasse,",Spreitenbach
2.5,75,1769,5018,AG,Aarauerstrasse,Erlinsbach
5.5,137,1980,2544,SO,Flurstrasse,Bettlach
4.5,125,2290,3066,BE,Flurweg,Stettlen
2.0,38,2125,1205,GE,Rue Sautter,Genève
3.5,78,1850,8620,ZH,Bahnhofstrasse,Wetzikon ZH
3.0,80,1680,1734,FR,Stersmühlestr.,Tentlingen
4.5,123,2450,3072,BE,Dr. Zuber-Strasse,Ostermundigen
4.5,107,2000,4537,BE,Sonnhalde,Wiedlisbach
3.5,109,1880,9400,SG,Im Stadtwald,Rorschach
3.5,79,1400,4500,SO,Grenchenstrasse,Solothurn
5.5,130,2020,3186,FR,Peterstrasse,Düdingen
2.5,149,2670,3400,BE,Hohengasse,Burgdorf
3.5,81,1450,4900,BE,Brauihof,Langenthal
3.5,84,1520,4914,BE,Gartenstrasse,Roggwil BE
2.5,110,1170,2502,BE,Bahnhofstrasse,Biel/Bienne
4.0,73,1605,8404,ZH,Hegifeldstrasse,Reutlingen (Winterthur)
2.5,56,1630,8280,TG,Konstanzerstrasse,Kreuzlingen
3.5,65,1340,3250,BE,Neumattweg,Lyss
3.5,85,1500,5417,AG,Bodenächerstrasse,Untersiggenthal
4.5,103,1280,4913,BE,Steinackerweg,Bannwil
3.5,80,1230,3185,FR,Carolinestrasse,Schmitten FR
4.5,129,2600,6373,NW,Hofurlistrasse,Ennetbürgen
100.0,100,2390,1814,VD,Avenue des Mousquetaires,La Tour-de-Peilz
3.5,88,1380,5234,AG,Schürmattstrasse,Villigen
3.5,75,1450,3067,BE,ob. Strassackerweg,Boll
3.5,80,1660,2502,BE,rue du Général-Dufour,Biel/Bienne
5.0,100,1595,9113,SG,Bahnhofstrasse,Degersheim
4.5,100,1500,9400,SG,Hauptstrasse,Rorschach
93.0,93,1450,9436,SG,Balgacherstrasse,Balgach
3.5,73,1615,8645,SG,Feldeggstrasse,Jona
3.0,93,1290,4528,SO,Luzernstrasse,Zuchwil
3.5,68,1300,4802,AG,Schleipfenstr.,Strengelbach
4.5,79,1540,5035,AG,Quellmattstr.,Unterentfelden
3.5,70,1420,5035,AG,Quellmattstr.,Unterentfelden
3.0,72,1400,8733,SG,Löwenplatz,Eschenbach SG
3.5,73,1780,8707,ZH,Hofstrasse,Uetikon am See
3.5,81,1990,8132,ZH,Bachtelweg,Egg b. Zürich
3.5,92,1590,2016,NE,Ch. des Pâles,Cortaillod
